"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1378057;8.3509;61.5898;1859
;1378058;8.3696;61.5907;1650
;1378059;8.3883;61.5916;1287
;1378060;8.4071;61.5925;1289
;1378061;8.4258;61.5934;1632
;1378062;8.4445;61.5943;2134
;1378063;8.4632;61.5952;2277
;1378064;8.4819;61.5961;1922
;1379234;8.0163;61.564;1424
;1379235;8.035;61.5649;1299
;1379236;8.0537;61.5659;1496
;1379237;8.0724;61.5668;1591
;1379238;8.0911;61.5678;1682
;1379239;8.1097;61.5687;1812
;1379240;8.1284;61.5697;1921
;1379241;8.1471;61.5706;1656
;1379242;8.1658;61.5716;1738
;1379243;8.1845;61.5725;1670
;1379244;8.2032;61.5735;1271
;1379245;8.2219;61.5744;1424
;1379246;8.2406;61.5753;1888
;1379247;8.2593;61.5762;1967
;1379248;8.278;61.5772;1885
;1379249;8.2967;61.5781;1833
;1379250;8.3154;61.579;1975
;1379251;8.3341;61.5799;1743
;1379252;8.3528;61.5808;1768
;1379253;8.3715;61.5818;1566
;1379254;8.3903;61.5827;1248
;1379255;8.409;61.5836;1433
;1379256;8.4277;61.5845;1418
;1379257;8.4464;61.5854;1705
;1379258;8.4651;61.5863;2157
;1380429;8.0183;61.5551;1438
;1380430;8.037;61.556;1365
;1380431;8.0557;61.557;1508
;1380432;8.0744;61.5579;1703
;1380433;8.0931;61.5589;1835
;1380434;8.1117;61.5598;1890
;1380435;8.1304;61.5608;2028
;1380436;8.1491;61.5617;1954
;1380437;8.1678;61.5627;1629
;1380438;8.1865;61.5636;1336
;1380439;8.2052;61.5645;1267
;1380440;8.2239;61.5655;1353
;1380441;8.2426;61.5664;1660
;1380442;8.2613;61.5673;1866
;1380443;8.28;61.5683;1673
;1380444;8.2986;61.5692;1540
;1380445;8.3174;61.5701;1584
;1380446;8.3361;61.571;1637
;1380447;8.3547;61.5719;1432
;1380448;8.3735;61.5728;1301
;1380449;8.3922;61.5737;1287
;1380450;8.4109;61.5747;1693
;1380451;8.4296;61.5756;1955
;1380452;8.4483;61.5765;1555
;1380453;8.467;61.5774;2036
;1381625;8.039;61.5471;1488
;1381628;8.095;61.55;1803
;1381629;8.1137;61.5509;1874
;1381630;8.1324;61.5519;2045
;1381631;8.1511;61.5528;1565
;1381632;8.1698;61.5537;1379
;1381633;8.1884;61.5547;1505
;1381634;8.2071;61.5556;1385
;1381635;8.2258;61.5566;1357
;1381636;8.2445;61.5575;1486
;1381637;8.2632;61.5584;1692
;1381638;8.2819;61.5593;1803
;1381639;8.3006;61.5603;1840
;1381640;8.3193;61.5612;1568
;1381641;8.338;61.5621;1354
;1381642;8.3567;61.563;1298
;1381643;8.3754;61.5639;1385
;1381644;8.3941;61.5648;1458
;1381645;8.4128;61.5657;2020
;1381646;8.4315;61.5666;2020
;1381647;8.4502;61.5675;1714
;1382823;8.097;61.5411;1843
;1382824;8.1157;61.542;1864
;1382826;8.1531;61.5439;1649
;1382827;8.1717;61.5448;1457
;1382828;8.1904;61.5458;1725
;1382829;8.2091;61.5467;1657
;1382830;8.2278;61.5476;1462
;1382831;8.2465;61.5486;1404
;1382832;8.2651;61.5495;1406
;1382833;8.2838;61.5504;1446
;1382834;8.3025;61.5513;1590
;1382835;8.3212;61.5523;1479
;1382836;8.3399;61.5532;1377
;1382837;8.3586;61.5541;1539
;1382838;8.3773;61.555;1837
;1382839;8.396;61.5559;1471
;1382840;8.4147;61.5568;1941
;1382841;8.4334;61.5577;1904
;1382842;8.4521;61.5586;2038
;1384019;8.1177;61.5331;1928
;1384022;8.1737;61.5359;1678
;1384027;8.2671;61.5406;1415
;1384028;8.2858;61.5415;1755
;1384029;8.3044;61.5424;1465
;1384030;8.3231;61.5433;1497
;1384031;8.3418;61.5443;1610
