*Time*            *Precip*    *Temp*
Saeternbekken
19960916/0400     0       5.3               
19960916/0500     0       5.65              
19960916/0600     0       6.75              
19960916/0700     0       10.4              
19960916/0800     0       11.55             
19960916/0900     0       12.85             
19960916/1000     0       14.6              
19960916/1100     0       14.55             
19960916/1200     0       15.85             
19960916/1300     0       17                
19960916/1400     0       16.75             
19960916/1500     0       14.2              
19960916/1600     0       13.25             
19960916/1700     0       11.5              
19960916/1800     0       10.4              
19960916/1900     0       9.5               
19960916/2000     0       8.8               
19960916/2100     0       8.75              
19960916/2200     0       8.15              
19960916/2300     0       7.9               
19960917/0000     0       7.65              
19960917/0100     0       7.7               
19960917/0200     0       7                 
19960917/0300     0       6.4               
19960917/0400     0       5.9               
19960917/0500     0       5.45              
19960917/0600     0       6.7               
19960917/0700     0       10.25             
19960917/0800     0       12.35             
19960917/0900     0       13.55             
19960917/1000     0       14.6              
19960917/1100     0       15                
19960917/1200     0       16.45             
19960917/1300     0       17.45             
19960917/1400     0       17.2              
19960917/1500     0       15.45             
19960917/1600     0       14.55             
19960917/1700     0       13.2              
19960917/1800     0       11.45             
19960917/1900     0       10.7              
19960917/2000     0       10.45             
19960917/2100     0       10.45             
19960917/2200     0       8.4               
19960917/2300     0       8.2               
19960918/0000     0       7.8               
19960918/0100     0       7.35              
19960918/0200     0       6.75              
19960918/0300     0       6.65              
19960918/0400     0       5.65              
19960918/0500     0       5.6               
19960918/0600     0       6.3               
19960918/0700     0       9.5               
19960918/0800     0       11.8              
19960918/0900     0       14.65             
19960918/1000     0       15.7              
19960918/1100     0       16.05             
19960918/1200     0       17.8              
19960918/1300     0       19.2              
19960918/1400     0       18.95             
19960918/1500     0       16.45             
19960918/1600     0       15.65             
19960918/1700     0       14.35             
19960918/1800     0       12.7              
19960918/1900     0       12.05             
19960918/2000     0       11.25             
19960918/2100     0       10.3              
19960918/2200     0       10.35             
19960918/2300     0       10.25             
19960919/0000     0       10.4              
19960919/0100     0       9.25              
19960919/0200     0       8.8               
19960919/0300     0       7.55              
19960919/0400     0       7.45              
19960919/0500     0       8.4               
19960919/0600     0       9.65              
19960919/0700     0       11.85             
19960919/0800     0       13.2              
19960919/0900     0       14.85             
19960919/1000     0       15.45             
19960919/1100     0       16.1              
19960919/1200     0       17.25             
19960919/1300     0       17.55             
19960919/1400     0       17.75             
19960919/1500     0       15.15             
19960919/1600     0       13.95             
19960919/1700     0       12.5              
19960919/1800     0       11.55             
19960919/1900     0       10.85             
19960919/2000     0       9.65              
19960919/2100     0       8.7               
19960919/2200     0       8.2               
19960919/2300     0       7.75              
19960920/0000     0       8.2               
19960920/0100     0       9.05              
19960920/0200     0       9.2               
19960920/0300     0       9.3               
19960920/0400     0       9.25              
19960920/0500     0       9.15              
19960920/0600     0       9.05              
19960920/0700     0       9.35              
19960920/0800     0       9.5               
19960920/0900     0       9.5               
19960920/1000     0       10.2              
19960920/1100     0       10.65             
19960920/1200     0       11.25             
19960920/1300     0       11.25             
19960920/1400     0       10.95             
19960920/1500     0       10.7              
19960920/1600     0       10.4              
19960920/1700     0       9.8               
19960920/1800     0       8.8               
19960920/1900     0       7.5               
19960920/2000     0       6.75              
19960920/2100     0       6.1               
19960920/2200     0       6.2               
19960920/2300     0       5.6               
19960921/0000     0       5.35              
19960921/0100     0       5                 
19960921/0200     0       5.15              
19960921/0300     0       4.7               
19960921/0400     0       4.75              
19960921/0500     0       4.3               
19960921/0600     0       4.8               
19960921/0700     0       6.3               
19960921/0800     0       8.55              
19960921/0900     0       10.8              
19960921/1000     0       10.75             
19960921/1100     0       11.55             
19960921/1200     0       11.6              
19960921/1300     0       11.7              
19960921/1400     0       11.05             
19960921/1500     0       10.6              
19960921/1600     0       9.2               
19960921/1700     0       8.6               
19960921/1800     0       8.1               
19960921/1900     0       8                 
19960921/2000     0       8.3               
19960921/2100     0       7.7               
19960921/2200     0       7.95              
19960921/2300     0       7.8               
19960922/0000     0       7.6               
19960922/0100     0       7.65              
19960922/0200     0       7.6               
19960922/0300     0       7.35              
19960922/0400     0       7.1               
19960922/0500     0       7.2               
19960922/0600     0       7.35              
19960922/0700     0       7.55              
19960922/0800     0       8.45              
19960922/0900     0       9.45              
19960922/1000     0       10.4              
19960922/1100     0       11                
19960922/1200     0       11.1              
19960922/1300     0       11.3              
19960922/1400     0       11                
19960922/1500     0       10.25             
19960922/1600     0       9.45              
19960922/1700     0       8.6               
19960922/1800     0       7.8               
19960922/1900     0       6.45              
19960922/2000     0       5.65              
19960922/2100     0       5.2               
19960922/2200     0       5.3               
19960922/2300     0       5.9               
19960923/0000     0       5.85              
19960923/0100     0       5.75              
19960923/0200     0       5.8               
19960923/0300     0       5.6               
19960923/0400     0       4.9               
19960923/0500     0       3.95              
19960923/0600     0       4.8               
19960923/0700     0       6.15              
19960923/0800     0       7.75              
19960923/0900     0       8.45              
19960923/1000     0       9.15              
19960923/1100     0       10.4              
19960923/1200     0       11.75             
19960923/1300     0       12.25             
19960923/1400     0       12                
19960923/1500     0       9.5               
19960923/1600     0       8.45              
19960923/1700     0       7.9               
19960923/1800     0       6.4               
19960923/1900     0       4.85              
19960923/2000     0       4.2               
19960923/2100     0       3.55              
19960923/2200     0       3.3               
19960923/2300     0       3.2               
19960924/0000     0       2.75              
19960924/0100     0       2.45              
19960924/0200     0       2.55              
19960924/0300     0       3.25              
19960924/0400     0       3.35              
19960924/0500     0       3.2               
19960924/0600     0       3.7               
19960924/0700     0       4.25              
19960924/0800     0       4.9               
19960924/0900     0       5.85              
19960924/1000     0       8.45              
19960924/1100     0       9.75              
19960924/1200     0       10.05             
19960924/1300     0       11.7              
19960924/1400     0       11.85             
19960924/1500     0       9                 
19960924/1600     0       7.9               
19960924/1700     0       6.45              
19960924/1800     0       5.5               
19960924/1900     0       4.9               
19960924/2000     0       4.4               
19960924/2100     0       4.1               
19960924/2200     0       3.6               
19960924/2300     0       3.6               
19960925/0000     0       3                 
19960925/0100     0       2.65              
19960925/0200     0       2.75              
19960925/0300     0       2.4               
19960925/0400     0       2.35              
19960925/0500     0       2.35              
19960925/0600     0       2.65              
19960925/0700     0       5.9               
19960925/0800     0       7.45              
19960925/0900     0       9.05              
19960925/1000     0       9.85              
19960925/1100     0       10.55             
19960925/1200     0       11.75             
19960925/1300     0       12.65             
19960925/1400     0       11.85             
19960925/1500     0       9.9               
19960925/1600     0       8.85              
19960925/1700     0       7.3               
19960925/1800     0       6.2               
19960925/1900     0       5.4               
19960925/2000     0       5.4               
19960925/2100     0       4.75              
19960925/2200     0       4.7               
19960925/2300     0       3.95              
19960926/0000     0       3.35              
19960926/0100     0       3.6               
19960926/0200     0       3.4               
19960926/0300     0       3.95              
19960926/0400     0       4.3               
19960926/0500     0       4.4               
19960926/0600     0       4.65              
19960926/0700     0       5.2               
19960926/0800     0.25    5.85              
19960926/0900     0       6.6               
19960926/1000     0       7.55              
19960926/1100     0       7.75              
19960926/1200     0       7.55              
19960926/1300     0       7.8               
19960926/1400     0       8                 
19960926/1500     0       7.95              
19960926/1600     0       7.85              
19960926/1700     0.41    7.6               
19960926/1800     0.2     7.4               
19960926/1900     0.2     7.3               
19960926/2000     0       7.1               
19960926/2100     0       6.9               
19960926/2200     0       6.6               
19960926/2300     0       6.3               
19960927/0000     0       6.15              
19960927/0100     0       6.1               
19960927/0200     0       6.2               
19960927/0300     0       6.15              
19960927/0400     0       6.15              
19960927/0500     0       6.1               
19960927/0600     0       6                 
19960927/0700     0.25    5.95              
19960927/0800     0.71    5.7               
19960927/0900     4.79    5.7               
19960927/1000     1.73    5.95              
19960927/1100     1.22    6.3               
19960927/1200     2.96    6.55              
19960927/1300     2.75    6.65              
19960927/1400     3.77    6.8               
19960927/1500     3.16    6.85              
19960927/1600     2.96    6.95              
19960927/1700     2.96    7.1               
19960927/1800     3.26    7.15              
19960927/1900     4.08    7.25              
19960927/2000     4.49    7.35              
19960927/2100     3.88    7.5               
19960927/2200     4.9     7.55              
19960927/2300     4.08    7.55              
19960928/0000     2.5     7.4               
19960928/0100     3.47    7.25              
19960928/0200     3.88    7.2               
19960928/0300     7.65    7.1               
19960928/0400     4.49    7                 
19960928/0500     2.55    6.95              
19960928/0600     1.73    7                 
19960928/0700     0.61    7.15              
19960928/0800     0.2     7.55              
19960928/0900     0       9.2               
19960928/1000     0       9.4               
19960928/1100     0       9.35              
19960928/1200     0       10                
19960928/1300     0       10.75             
19960928/1400     0       10.55             
19960928/1500     0       10.3              
19960928/1600     0.51    8.65              
19960928/1700     0       7.75              
19960928/1800     0       6.25              
19960928/1900     0       5.2               
19960928/2000     0       4.55              
19960928/2100     0       4.6               
19960928/2200     0       3.75              
19960928/2300     0       3.65              
19960929/0000     0       3.45              
19960929/0100     0       3.1               
19960929/0200     0       3.15              
19960929/0300     0       3.55              
19960929/0400     0       4.05              
19960929/0500     0.25    4.65              
19960929/0600     2.55    5.6               
19960929/0700     5       6.4               
19960929/0800     4.18    7.5               
19960929/0900     1.33    7.9               
19960929/1000     1.63    7.85              
19960929/1100     3.77    8.1               
19960929/1200     1.22    8.15              
19960929/1300     3.16    8.45              
19960929/1400     4.08    9.05              
19960929/1500     4.28    9.2               
